timestamp,umidade_solo,ph,nitrogenio,fosforo,potassio,vai_chover,bomba_ligada
2026-05-18 14:00:00,65.76,5.75,True,True,True,True,False
2026-05-18 14:00:02,51.96,4.91,True,True,False,True,False
2026-05-18 14:00:04,41.99,6.8,False,True,False,True,False
2026-05-18 14:00:06,44.4,6.31,False,False,True,True,False
2026-05-18 14:00:08,32.48,7.2,True,True,False,True,False
2026-05-18 14:00:10,51.1,4.79,False,False,False,False,False
2026-05-18 14:00:12,68.69,5.31,False,False,False,True,False
2026-05-18 14:00:14,30.25,4.67,True,False,False,False,True
2026-05-18 14:00:16,30.33,7.16,False,False,True,True,False
2026-05-18 14:00:18,50.27,5.42,False,True,False,False,False
2026-05-18 14:00:20,64.49,5.21,False,False,False,False,False
2026-05-18 14:00:22,53.51,5.4,False,True,False,True,False
2026-05-18 14:00:24,64.69,6.0,True,True,False,True,False
2026-05-18 14:00:26,49.89,6.97,False,True,False,False,False
2026-05-18 14:00:28,42.56,4.78,False,False,False,True,False
2026-05-18 14:00:30,66.95,6.35,False,True,False,False,False
2026-05-18 14:00:32,47.88,5.94,True,False,False,False,False
2026-05-18 14:00:34,61.64,7.2,False,False,False,True,False
2026-05-18 14:00:36,65.44,5.31,False,True,False,True,False
2026-05-18 14:00:38,44.66,6.73,False,True,False,True,False
